Time,INTER1 PRESSURE (kg/ms^2),INTER2 PRESSURE (kg/ms^2)
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79601096496,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.3929600003
0.0,204746.79296,3548705.4458398316
0.0,529566.0954806977,3548705.3929600003
0.0,355309.5148075887,2857871.1900797
0.0,672150.3169382517,3165628.729479105
0.0,193809.88454305078,2737513.1445088643
0.0,355309.5148075887,2857871.1900797
0.0,355309.5148075887,2857871.1900797
0.0,355309.5201021131,2857871.1900797
0.0,355309.5148075887,2857871.1900797
0.0,355309.5148075887,2857871.1900797
0.0,355309.5148075887,2857871.2326652994
0.0,394712.03736669297,1554160.022449606
0.0,559934.1910180799,2595897.754691202
0.0,477364.6957824128,1486684.3517214668
0.0,642844.0870749903,1895292.5129254954
0.0,979305.6096896507,1958001.530974411
0.0,1253319.6876557386,2878068.8964104494
0.0,667826.9243090984,2237598.5925176903
0.0,979305.6096896507,1958001.530974411
0.0,979305.6096896507,1958001.530974411
0.0,979305.6242824415,1958001.530974411
0.0,979305.6096896507,1958001.530974411
0.0,979305.6096896507,1958001.530974411
0.0,979305.6096896507,1958001.5601509074
0.0,1147387.0777077011,2152786.9295480386
0.0,1485121.543731937,2517680.0172876287
0.0,1654822.1914624595,2638756.388604634
0.0,1485121.543731937,2517680.0172876287
0.0,1485121.543731937,2517680.0172876287
0.0,1485121.5658619725,2517680.0172876287
0.0,1485121.543731937,2517680.0172876287
0.0,1485121.543731937,2517680.0172876287
0.0,1485121.543731937,2517680.0548039847
0.0,1569946.4464963442,2575285.115810309
0.0,1739772.1243993293,2690245.941346435
0.0,2079496.7142706744,2911414.232918768
0.0,2759168.923689576,3307728.252223534
0.0,3319623.983043202,3549480.2709099264
0.0,3489957.485790604,3582901.9039019723
0.0,3761115.4002387077,3592507.599291698
0.0,3561570.4504419616,3567159.531476329
0.0,3489957.485790604,3582901.9039019723
0.0,3489957.485790604,3582901.9039019723
0.0,3489957.537795023,3582901.9039019723
0.0,3489957.485790604,3582901.9039019723
0.0,3489957.485790604,3582901.9039019723
0.0,3489957.485790604,3582901.957291371
0.0,3589058.441431857,3548375.863462495
0.0,3592972.745180593,3548725.0583113576
0.0,3593043.1742847185,3548704.891426635
0.0,3593044.6732620033,3548705.4108730536
0.0,3593044.623644975,3548705.392948927
0.0,3593044.6237147,3548705.3929596785
