,Time,Interface,Rho,Pressure,Velocity,Temperature,Mass Flow Rate
0,0.0,INTER1,27.703592130318135 kg/m^3,2402256.6671847 kg/ms^2,82.06798710064191 m/s,293.4403877641479 K,0.07200243737416923 kg/s
1,0.0,INTER2,24.082820186964923 kg/m^3,2078543.5778805139 kg/ms^2,93.33445403947195 m/s,292.0216594331189 K,0.0711847011992742 kg/s
2,0.0,INTER3,22.72540584694802 kg/m^3,1987759.0555290405 kg/ms^2,106.03621543484863 m/s,295.7170997458631 K,0.07631382093870978 kg/s
3,0.0,INTER4,8.803446641791938 kg/m^3,725966.7004871108 kg/ms^2,261.3353379555823 m/s,278.58963746821615 K,0.07285983905399174 kg/s
4,0.10101010101010101,INTER1,27.859225125221965 kg/m^3,2413192.5866183178 kg/ms^2,85.9564345621801 m/s,293.1512834568867 K,0.075837630905552 kg/s
5,0.10101010101010101,INTER2,23.85988368494815 kg/m^3,2067761.1475622486 kg/ms^2,100.3642805765955 m/s,293.1554361511092 K,0.07583764354954672 kg/s
6,0.10101010101010101,INTER3,23.754595360169436 kg/m^3,2071003.600478514 kg/ms^2,106.03243981280438 m/s,294.8291966309873 K,0.07976708537784799 kg/s
7,0.10101010101010101,INTER4,7.9041493455852185 kg/m^3,690456.698705188 kg/ms^2,318.9916252422068 m/s,294.74523678726507 K,0.07984941720740046 kg/s
8,0.20202020202020202,INTER1,27.859224880956692 kg/m^3,2413192.5502090612 kg/ms^2,85.95650435542333 m/s,293.1512816992117 K,0.07583769181779187 kg/s
9,0.20202020202020202,INTER2,23.859877011591745 kg/m^3,2067760.5157510655 kg/ms^2,100.36438922882823 m/s,293.1554286999994 K,0.07583770443875702 kg/s
10,0.20202020202020202,INTER3,23.754738545820825 kg/m^3,2070998.516127328 kg/ms^2,106.04215901975475 m/s,294.8268182444079 K,0.07977487789104915 kg/s
11,0.20202020202020202,INTER4,7.903124307036229 kg/m^3,690455.3530286073 kg/ms^2,319.057219439388 m/s,294.78222680886444 K,0.07985547934108424 kg/s
12,0.30303030303030304,INTER1,27.85922247388957 kg/m^3,2413192.1916344073 kg/ms^2,85.9580169634013 m/s,293.15126440304687 K,0.07583901980875885 kg/s
13,0.30303030303030304,INTER2,23.859734652871342 kg/m^3,2067747.7124015375 kg/ms^2,100.36674573715541 m/s,293.15536083711925 K,0.07583903257978132 kg/s
14,0.30303030303030304,INTER3,23.75609495010081 kg/m^3,2070941.9104943716 kg/ms^2,106.02494131614968 m/s,294.8031442554834 K,0.0797664795514387 kg/s
15,0.30303030303030304,INTER4,7.899994756022499 kg/m^3,690442.1658811138 kg/ms^2,319.06130236688847 m/s,294.8914073217669 K,0.07982487893633557 kg/s
16,0.40404040404040403,INTER1,27.859222202337136 kg/m^3,2413192.151157569 kg/ms^2,85.95828229012623 m/s,293.1512624489896 K,0.07583925316193324 kg/s
17,0.40404040404040403,INTER2,23.859709817855695 kg/m^3,2067745.5049888957 kg/ms^2,100.36715891062215 m/s,293.15535253254177 K,0.0758392658422311 kg/s
18,0.40404040404040403,INTER3,23.756242114817958 kg/m^3,2070934.7474070862 kg/ms^2,106.03465531858022 m/s,294.8004373286547 K,0.07977428193847486 kg/s
19,0.40404040404040403,INTER4,7.898926908759881 kg/m^3,690440.6698434954 kg/ms^2,319.1274042807838 m/s,294.92994359183524 K,0.07983062453829962 kg/s
20,0.5050505050505051,INTER1,27.85922192905217 kg/m^3,2413192.1104224846 kg/ms^2,85.95864474345888 m/s,293.1512604824653 K,0.07583957220322657 kg/s
21,0.5050505050505051,INTER2,23.859675974069447 kg/m^3,2067742.5187172685 kg/ms^2,100.3677233036346 m/s,293.15534416783845 K,0.07583958473319063 kg/s
22,0.5050505050505051,INTER3,23.756384113583827 kg/m^3,2070926.7708058201 kg/ms^2,106.0445598776623 m/s,294.797681015046 K,0.07978221043157738 kg/s
23,0.5050505050505051,INTER4,7.897841138691454 kg/m^3,690439.1642622498 kg/ms^2,319.1944170922014 m/s,294.9691440860432 K,0.0798364123270563 kg/s
24,0.6060606060606061,INTER1,27.85920945014562 kg/m^3,2413190.2423375533 kg/ms^2,85.97964269321636 m/s,293.1511697659899 K,0.0758580642903233 kg/s
25,0.6060606060606061,INTER2,23.857716628563413 kg/m^3,2067566.3810125075 kg/ms^2,100.40044289023675 m/s,293.154420912351 K,0.07585807827603673 kg/s
26,0.6060606060606061,INTER3,23.762494615653925 kg/m^3,2070529.2248392226 kg/ms^2,105.99897157807078 m/s,294.67174188740506 K,0.07976842462421235 kg/s
27,0.6060606060606061,INTER4,7.884679195624392 kg/m^3,690365.4612675238 kg/ms^2,319.3412574141546 m/s,295.4218713730319 K,0.07974002928335107 kg/s
28,0.7070707070707071,INTER1,27.859208051289244 kg/m^3,2413190.033899097 kg/ms^2,85.98250570146472 m/s,293.1511597081473 K,0.07586058645432968 kg/s
29,0.7070707070707071,INTER2,23.857449627793745 kg/m^3,2067543.0288053602 kg/ms^2,100.40490561081498 m/s,293.1543828702525 K,0.07586060111353966 kg/s
30,0.7070707070707071,INTER3,23.763156462434985 kg/m^3,2070480.314474456 kg/ms^2,105.98640396469028 m/s,294.65731182678127 K,0.07976118849035803 kg/s
31,0.7070707070707071,INTER4,7.88322719620374 kg/m^3,690357.8053130533 kg/ms^2,319.3217629044441 m/s,295.47210960906034 K,0.07972047788121624 kg/s
32,0.8080808080808081,INTER1,27.85904925180604 kg/m^3,2413166.3736250754 kg/ms^2,86.37216790199804 m/s,293.150018138421 K,0.07620394298428972 kg/s
33,0.8080808080808081,INTER2,23.82106619052835 kg/m^3,2064367.4200750517 kg/ms^2,101.0133846529328 m/s,293.15007501907445 K,0.07620394432642444 kg/s
34,0.8080808080808081,INTER3,23.652103027908986 kg/m^3,2033325.811827443 kg/ms^2,105.27411949733167 m/s,290.91008778872924 K,0.07885490480126746 kg/s
35,0.8080808080808081,INTER4,8.246170488558464 kg/m^3,708662.616132235 kg/ms^2,294.9293147942616 m/s,290.06766603914144 K,0.07702072162737726 kg/s
36,0.9090909090909091,INTER1,27.859048906411413 kg/m^3,2413166.3092083298 kg/ms^2,86.3786431329154 m/s,293.1500141686604 K,0.07620965496919817 kg/s
37,0.9090909090909091,INTER2,23.820461918356727 kg/m^3,2064299.0261071315 kg/ms^2,101.02351940052756 m/s,293.1478866272011 K,0.07620965665492813 kg/s
38,0.9090909090909091,INTER3,23.6483976917738 kg/m^3,2040241.5261016665 kg/ms^2,105.62048915351242 m/s,291.8956244155129 K,0.07910195672689793 kg/s
39,0.9090909090909091,INTER4,8.191487805976756 kg/m^3,704694.2215751519 kg/ms^2,300.64416638768654 m/s,290.3604858681036 K,0.07799251091565233 kg/s
40,1.0101010101010102,INTER1,27.85905359633251 kg/m^3,2413164.5525664263 kg/ms^2,86.40377234011805 m/s,293.1497660815073 K,0.07623183865554728 kg/s
41,1.0101010101010102,INTER2,23.81811979138015 kg/m^3,2064062.8834651893 kg/ms^2,101.06281428064109 m/s,293.14331881684024 K,0.07623180358004114 kg/s
42,1.0101010101010102,INTER3,23.668470327927114 kg/m^3,2050146.6378547864 kg/ms^2,105.6857343017713 m/s,293.0090883193997 K,0.07921800333311399 kg/s
43,1.0101010101010102,INTER4,8.063399242184447 kg/m^3,698683.2686814902 kg/ms^2,308.1683025193154 m/s,292.4139140924881 K,0.07869433352323668 kg/s
44,1.1111111111111112,INTER1,27.859053478509054 kg/m^3,2413164.5774889425 kg/ms^2,86.40549494831303 m/s,293.1497701095467 K,0.07623335814629248 kg/s
45,1.1111111111111112,INTER2,23.81795901839864 kg/m^3,2064049.8429771988 kg/ms^2,101.06551184191206 m/s,293.14343388471036 K,0.07623332377322206 kg/s
46,1.1111111111111112,INTER3,23.67118554924527 kg/m^3,2050372.1548747448 kg/ms^2,105.68051772208554 m/s,293.0078667819617 K,0.07922318053865772 kg/s
47,1.1111111111111112,INTER4,8.05997750222935 kg/m^3,698522.8001782463 kg/ms^2,308.2730962513629 m/s,292.4697261497632 K,0.07868768816007683 kg/s
48,1.2121212121212122,INTER1,27.85905347291674 kg/m^3,2413164.5786706065 kg/ms^2,86.40561547985915 m/s,293.1497703005885 K,0.07623346447288991 kg/s
