Time,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
0.0,Pressurant Tank,0.33740896516971025,20684280.0,224.93931011314018,293.15
0.0,critical_orifice,N/A,N/A,N/A,N/A
0.0,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.1,Pressurant Tank,0.3278557836460244,19705423.84143194,218.57052243068293,293.15
0.1,critical_orifice,N/A,N/A,N/A,N/A
0.1,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.2,Pressurant Tank,0.3187223798294898,18791217.652843054,212.4815865529932,293.15
0.2,critical_orifice,N/A,N/A,N/A,N/A
0.2,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.30000000000000004,Pressurant Tank,0.3099812216522714,17936217.641278103,206.6541477681809,293.15
0.30000000000000004,critical_orifice,N/A,N/A,N/A,N/A
0.30000000000000004,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.4,Pressurant Tank,0.3016074685510442,17135536.693811093,201.07164570069614,293.15
0.4,critical_orifice,N/A,N/A,N/A,N/A
0.4,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.5,Pressurant Tank,0.2935786164301415,16384776.355452646,195.7190776200943,293.15
0.5,critical_orifice,N/A,N/A,N/A,N/A
0.5,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.6,Pressurant Tank,0.28587419433587796,15679968.53157338,190.58279622391865,293.15
0.6,critical_orifice,N/A,N/A,N/A,N/A
0.6,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.7,Pressurant Tank,0.27847550620390954,15017525.39229433,185.650337469273,293.15
0.7,critical_orifice,N/A,N/A,N/A,N/A
0.7,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.7999999999999999,Pressurant Tank,0.27136541149979476,14394196.187601272,180.9102743331965,293.15
0.7999999999999999,critical_orifice,N/A,N/A,N/A,N/A
0.7999999999999999,Pressure Outlet,N/A,6894760.0,79.64069285513682,N/A
0.8999999999999999,Pressurant Tank,0.2645281390983489,13807029.885150982,176.3520927322326,293.15
