Time,Converged Residual,Component,Mass (kg),Pressure (kg/ms^2),Density (kg/m^3),Temperature (K)
0.0,1.4109718503929878e-12,Pressurant Tank,0.33625234726842795,20785605.39296,224.1682315122853,295.0
0.0,1.4109718503929878e-12,critical_orifice,N/A,N/A,N/A,N/A
0.0,1.4109718503929878e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.1,4.5620515604026883e-11,Pressurant Tank,0.3276443212647115,19897441.330949873,218.42954750980766,292.2101666986717
0.1,4.5620515604026883e-11,critical_orifice,N/A,N/A,N/A,N/A
0.1,4.5620515604026883e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.2,4.8455567289463874e-11,Pressurant Tank,0.3192247334193197,19043441.527847853,212.8164889462131,289.35248659460206
0.2,4.8455567289463874e-11,critical_orifice,N/A,N/A,N/A,N/A
0.2,4.8455567289463874e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.30000000000000004,4.9193576574577266e-11,Pressurant Tank,0.310989745975878,18222421.266685907,207.32649731725198,286.43130365051127
0.30000000000000004,4.9193576574577266e-11,critical_orifice,N/A,N/A,N/A,N/A
0.30000000000000004,4.9193576574577266e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.4,6.975970774744399e-11,Pressurant Tank,0.30293887446653245,17433550.08917225,201.95924964435497,283.4520674448252
0.4,6.975970774744399e-11,critical_orifice,N/A,N/A,N/A,N/A
0.4,6.975970774744399e-11,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.5,1.1045397941050587e-12,Pressurant Tank,0.29507532217603427,16676355.36639767,196.7168814506895,280.4217167874696
0.5,1.1045397941050587e-12,critical_orifice,N/A,N/A,N/A,N/A
0.5,1.1045397941050587e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
0.6,1.5880169320964303e-12,Pressurant Tank,0.2874063405490257,15950725.945001755,191.60422703268378,277.34910411805964
0.6,1.5880169320964303e-12,critical_orifice,N/A,N/A,N/A,N/A
0.6,1.5880169320964303e-12,Pressure Outlet,N/A,6996085.392960001,80.80229145074489,N/A
