Time,Object,Rho,Pressure,Velocity,Temperature,Mass Flow Rate,Mass,Dynamic Pressure
0.0,Pressurant Tank,39.84012915675898 kg/m^3,3447380.0 kg/ms^2,100 m/s,293.15 K,N/A,3.9840129156758977 kg,N/A
0.0,INTER1,40.56035190109426 kg/m^3,3458495.442993335 kg/ms^2,115.71359377109174 m/s,289.22015432337815 K,0.14863580107386049 kg/s,N/A,271544.1696015247 kg/ms^2
0.0,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,INTER2,25.75697829819376 kg/m^3,2150131.8645819016 kg/ms^2,181.53353512063492 m/s,282.9988721108832 K,0.14807751208452305 kg/s,N/A,424403.19670749863 kg/ms^2
0.0,Chamber,23.868067512563744 kg/m^3,2068428.0 kg/ms^2,N/A,293.15 K,N/A,2.3868067512563744 kg,N/A
0.0,INTER3,25.208677825117206 kg/m^3,2114081.3219260126 kg/ms^2,104.04926436495069 m/s,284.2086546164753 K,0.08306659601770247 kg/s,N/A,136457.71677713003 kg/ms^2
0.0,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.0,INTER4,9.652113962591947 kg/m^3,828614.2935269487 kg/ms^2,274.722090995422 m/s,289.8487859366075 K,0.08397564655867314 kg/s,N/A,364233.269362929 kg/ms^2
0.0,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.1,Pressurant Tank,39.69149335568511 kg/m^3,3428591.2535272515 kg/ms^2,100 m/s,292.68026894368666 K,N/A,3.9691493355685115 kg,N/A
0.1,INTER1,40.560865871093526 kg/m^3,3458512.469073912 kg/ms^2,115.71431402311035 m/s,289.2181038654322 K,0.14863860973318768 kg/s,N/A,271550.9910097881 kg/ms^2
0.1,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.1,INTER2,25.758055492899924 kg/m^3,2150176.2376284082 kg/ms^2,181.52906827285582 m/s,282.99325526308695 K,0.14808006112875247 kg/s,N/A,424400.05936944485 kg/ms^2
0.1,Chamber,23.933078428630562 kg/m^3,2076529.1383302098 kg/ms^2,N/A,293.48427510267464 K,N/A,2.3933078428630563 kg,N/A
0.1,INTER3,25.209427440842273 kg/m^3,2114104.424082673 kg/ms^2,104.00538679918142 m/s,284.20362674965645 K,0.08303403590255203 kg/s,N/A,136346.70697063627 kg/ms^2
0.1,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.1,INTER4,9.662307774415865 kg/m^3,828635.7465108066 kg/ms^2,274.49190301746063 m/s,289.55711993095724 K,0.08399389810539651 kg/s,N/A,364007.1778513257 kg/ms^2
0.1,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.2,Pressurant Tank,39.54285474595192 kg/m^3,3409835.6539194104 kg/ms^2,100 m/s,292.20940716722936 K,N/A,3.9542854745951925 kg,N/A
0.2,INTER1,39.54356591958643 kg/m^3,3410247.4748559375 kg/ms^2,113.90395433316492 m/s,292.23715269507636 K,0.1426434924738634 kg/s,N/A,256521.30308563786 kg/ms^2
0.2,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2,INTER2,24.126043343208266 kg/m^3,2084258.8746478385 kg/ms^2,186.6967520597693 m/s,292.2880876935629 K,0.14264619720095978 kg/s,N/A,420464.78979991144 kg/ms^2
0.2,Chamber,23.99812445385676 kg/m^3,2084644.4974856994 kg/ms^2,N/A,293.81817279465304 K,N/A,2.399812445385676 kg,N/A
0.2,INTER3,24.222290495863806 kg/m^3,2066420.108101037 kg/ms^2,104.95029200015972 m/s,288.8163917684545 K,0.08050747233739246 kg/s,N/A,133398.9819144289 kg/ms^2
0.2,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.2,INTER4,10.211957545913343 kg/m^3,844904.8194736036 kg/ms^2,241.47312869902908 m/s,279.6014103593497 K,0.07809354572203786 kg/s,N/A,297725.9045047205 kg/ms^2
0.2,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.30000000000000004,Pressurant Tank,39.40021125347806 kg/m^3,3391868.1117676743 kg/ms^2,100 m/s,291.75647818814844 K,N/A,3.940021125347806 kg,N/A
0.30000000000000004,INTER1,39.522009944136265 kg/m^3,3406988.066943604 kg/ms^2,113.82252191246023 m/s,292.1258661499931 K,0.14246381134839703 kg/s,N/A,256015.01391402062 kg/ms^2
0.30000000000000004,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.30000000000000004,INTER2,24.14825652168048 kg/m^3,2085718.442369064 kg/ms^2,186.28877098788053 m/s,292.2276363915298 K,0.1424655273776587 kg/s,N/A,419014.5849134809 kg/ms^2
0.30000000000000004,Chamber,24.060263178720326 kg/m^3,2092406.321982094 kg/ms^2,N/A,294.13662800791576 K,N/A,2.406026317872033 kg,N/A
0.30000000000000004,INTER3,24.171990973228453 kg/m^3,2071833.5874759837 kg/ms^2,105.23169766417331 m/s,290.1064739323261 K,0.08055571043280535 kg/s,N/A,133836.81141610412 kg/ms^2
0.30000000000000004,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.30000000000000004,INTER4,9.889249768915102 kg/m^3,836170.1753778593 kg/ms^2,249.43134108369685 m/s,285.5822838647495 K,0.07811810499174325 kg/s,N/A,307634.7517224366 kg/ms^2
0.30000000000000004,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.4,Pressurant Tank,39.25774744212966 kg/m^3,3373954.107740034 kg/ms^2,100 m/s,291.30307805798304 K,N/A,3.9257747442129665 kg,N/A
0.4,INTER1,39.476143356451146 kg/m^3,3400963.495295331 kg/ms^2,113.65110352869448 m/s,291.9608324587139 K,0.1420841738372477 kg/s,N/A,254948.25028953564 kg/ms^2
0.4,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.4,INTER2,24.19201993816832 kg/m^3,2088360.0012207062 kg/ms^2,185.4628107354065 m/s,292.0777424251908 K,0.1420909117667157 kg/s,N/A,416059.85249159706 kg/ms^2
0.4,Chamber,24.12217299566518 kg/m^3,2100148.467270193 kg/ms^2,N/A,294.45340755843324 K,N/A,2.4122172995665183 kg,N/A
0.4,INTER3,24.154777962534222 kg/m^3,2077307.5495078692 kg/ms^2,105.3133137897698 m/s,291.03187386139393 K,0.08056077956782715 kg/s,N/A,133949.04172934205 kg/ms^2
0.4,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.4,INTER4,9.60359483131844 kg/m^3,828390.4693877294 kg/ms^2,254.86354271531974 m/s,291.20377678968543 K,0.07751377301198283 kg/s,N/A,311902.79384471226 kg/ms^2
0.4,Pressure Outlet,9.129090125673672 kg/m^3,792897.4 kg/ms^2,N/A,N/A,N/A,N/A,N/A
0.5,Pressurant Tank,39.115663268292415 kg/m^3,3356118.6574485055 kg/ms^2,100 m/s,290.8498441465743 K,N/A,3.9115663268292415 kg,N/A
0.5,INTER1,39.1184808951857 kg/m^3,3356389.203738639 kg/ms^2,112.3467245351025 m/s,290.85221193234725 K,0.13918092815561567 kg/s,N/A,246872.55730093783 kg/ms^2
0.5,Pipe,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.5,INTER2,24.52331595896241 kg/m^3,2107701.6188664897 kg/ms^2,179.2151632656387 m/s,290.87534751732085 K,0.1391846295282515 kg/s,N/A,393820.84747438197 kg/ms^2
0.5,Chamber,24.18370312786407 kg/m^3,2107851.9352869424 kg/ms^2,N/A,294.7677492414273 K,N/A,2.4183703127864074 kg,N/A
